kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
tepopotau-tau,bertahun-tahun,no konoe runggu -; dia dikena (menderita) penyakit bertahun-tahun; anopondauako sampai bertahuntahun; dunggu mowula'ako -,sampai berbulan-bulan dan bertahun-tahun
asondau,satu tahun,anokadu supaya cukup satu tahun,
tautembekee,bagimana,maa - no opu 'ikaa,biar bagaimana dia hibiskan juga
tawaro,sagu,kulaa mowaha - no,sedang saya memberi air sagunya
taweho,bias,- no ousa nggiro'o po-,
koh,BR il a BE bongan besar,aroamba meleu ndamahi bawa - nggiro'o,lalu mereka datang kemari serombongan besar itu
awuni,tinawuni ditimbun,o pitu anggalo - no,tujuh lembar yang ditimbunnya
"awungaku, mondawungaku",menampung,thiro laa - opae,mereka sedang menampung padi
ealo,singgah,iamo - i keni,jangan singgah di sini
eangga,"bernilai mulai, berbobot",no ana anakia laa laa lako nggiro'o ki'oki nopinoko doa,nilai anak bangsawan yang sedang pergi itu tidak terbayangkan
easobita,sedikit,poweaku itoonggu -,berikan saya juga sedikit
eatiho,bersin,ana dalo nggiro'o noehe - wingi,anak itu suka bersin pada waktu malam
tebua,keluar,ano - ari i rapino,dia keluar dari kamarnya
te'embe,bagaimana,- bawono anc mu,bagaimana kabar anakmu?
te'embepo,bagaimanapun,- ku pokondaui okinotulei motau,"bz gaimanapun saya ajar, dia tidal bisa pintar"
monde'eniako,"memberitahukan, mengundang",onggono tudu tekonggo'o lakoro - begitu waktu perta akan tiba mereka pergi memberitahukan (mengundang),
pepokondekonoano,pembetulan,pepoko meamboano batatana ari,
tekonggo,pesta,o lima pekambo mesida leu ine -,lima penduduk kampung rajin datang di pesta
anotekonggoa,pesta,sa'ariro ikiro lau-lau mondandi nggotudu - selesai itu terus mengikat janji menentukan dimulainya pesta,
"tekotu, anotekotu",terputus,i tunduni wuta moronene -,di ujung kampung Moroneene terputus
tekuranggee,berputus asa,no - to inano laa meohaki,dia telah berputus asa ketika ibunya sakit
tinekua'akono,yang diputusasakannya,konio - tidak ada yang diputuskannya (sedihkannya),
tekura,"sedih, mberanoto -, sangat bersedih",- 'ito,bersedihlah ia
anotetekurakoto,engkau begitu sedih,mbaakoko - mengapa eng-,
telalo,singgah,maindo - le'esu,mari singgah sebentar
telari,nakal,meinggito inipia te -,kitalah yang nakal tempo hari
telia,berak,no ari -,sudah dia berak
telio,tepat keno,morehu'ikee ano ne lambo,dudukkanlah hingga pantatnya tepat kena pada lubang
telombalalo,bocor sekali,- niinonc mebere,bocor sekali ember ini
telotu,patah,- kareno norumbati o oto,kakinya patah ditabrak oto
teluli,linglung,- ito puenggu,sudah linglung nenekku
